Vowel,F1,F2
i,302.3,2390.78
i,487.64,2846.79
i,407.27,2912.34
i,320.76,2443.05
i,390.21,2695.35
i,332.15,2871
i,349.61,2789.74
i,243.39,2948.31
i,559.46,3094.54
i,389.48,2627.11
i,272.86,2959.22
i,326.51,2665.84
i,363.94,540.33
i,401.94,2914.35
i,341.12,2836.38
i,326.21,2679.23
i,325.96,2308.02
i,305.1,2815.57
i,292.62,2791.21
i,448.87,2382.5
i,398.3,2704.9
i,350.19,2998.87
i,347.23,2653.88
i,390.89,2987.48
i,371.23,3082.28
i,337.58,2207.27
i,434.42,2969.79
i,369.24,2869.68
i,481.6,1882.04
i,336.86,2956.03
i,353.92,2457.61
i,277.53,2885.65
i,557.18,1686.11
i,309.24,3182.25
i,314.81,3055.09
i,408.62,2830.13
i,409.86,2216.03
i,435.37,2808.52
u,328.52,1138.56
u,447.99,1240.2
u,423.46,1305.36
u,335.23,1153.65
u,410.42,1138.83
u,438.11,1084.43
u,404.07,1403.27
u,445.95,1004.01
u,573.06,1164.88
u,477.12,1156.86
u,344.19,997.89
u,389.2,1066.5
u,409.6,941.6
u,386.6,1624.18
u,359.47,1054.05
u,257.54,1430.16
u,318.06,1273.31
u,338.33,1084.15
u,262.65,719.43
u,385.42,1836.3
u,477.5,1460.3
u,417.71,1173.54
u,422.41,1165.54
u,399.68,1159.18
u,385.17,1284.2
u,356.51,1061.72
u,429.55,1414.76
u,485.3,1495.19
u,375.29,1055.28
u,359.59,1694.25
u,374.7,1136.28
u,427.01,2047.39
u,637.83,1758.05
u,331.37,1219.05
u,429.11,1169.93
u,403.9,927.28
u,323.24,1724.81
u,468.15,1360.41
c,790.62,1093.18
c,810.73,1319.49
c,948.75,1245.14
c,650.78,1069.42
c,895.63,1320.45
c,872.92,1331.52
c,861.54,1130.28
c,673.23,1235.46
c,872.93,1205.1
c,768.05,1521.04
c,733.05,1139.07
c,884.51,1230.08
c,828.38,1186.39
c,870.97,1361.2
c,834.37,1403.74
c,864.7,1133.78
c,712.36,1096.33
c,965.15,1318.31
c,737.3,1080.74
c,699.1,1754.43
c,804.2,1106.7
c,922.68,1165.06
c,880.11,1323.09
c,788.74,1470.94
c,693.51,1173.55
c,900.12,1211.3
c,894.22,1206.75
c,965,1258.16
c,782.36,1135.82
c,910.68,1287.66
c,795.51,1167.32
c,812.15,1304.798
c,833.47,1678.3
c,952.94,1654.19
c,898.24,1240.35
c,859.74,1356.88
c,745.35,974. 21
c,714.37,1314.49
e,443.24,2225.84
e,567.85,2450.16
e,460.61,2619.39
e,448.23,2124.76
e,471.17,2614.32
e,576.29,2540.55
e,435.99,2629.68
e,447.42,2759.59
e,538.15,912.23
e,421.61,2523.73
e,417.76,2794.53
e,416.96,2202.9
e,472.34,2901.95
e,376.31,2778.11
e,443.32,2750.42
e,423.22,2678.55
e,452.05,2117.77
e,501.86,2710.02
e,389.17,2441.6
e,471.04,2444.83
e,451.6,2272.1
e,437.85,2891.12
e,469.77,2435.79
e,438.64,3016.51
e,370.98,2896.09
e,554.32,2623.16
e,569.39,2401.28
e,564.38,2395.48
e,623.76,2615.45
e,409.91,2884.35
e,538.76,2333.57
e,359.93,2116.8
e,744.88,2320.2
e,423.51,2580.67
e,480.15,2532.91
e,536.52,2663.26
e,467.33,2742.97
e,455.1,2586.51
U,727.88,1347.71
U,754.42,1622.57
U,859.76,1333.75
U,707.02,1308.54
U,835.28,1583
U,701.11,1446.41
U,832.16,1636.85
U,672.27,1529.43
U,845.12,1669.36
U,736.76,1630.15
U,662.03,1662.87
U,910.02,1563.59
U,722.34,1840.73
U,647.9,1747.69
U,821.88,1663.95
U,622.61,1553.62
U,652.49,1188.89
U,985.27,1570.05
U,796.39,1202.09
U,672.5,1567.25
U,726.2,1564.5
U,814.48,1473.15
U,789.99,1612.09
U,791.98,1568.53
U,698.56,1569.81
U,934.85,1739.65
U,922.5,1488.94
U,937.31,1645.36
U,907.53,1440.81
U,871.98,1557.76
U,803.44,1391.61
U,667.23,1291.14
U,957.8,1740.2
U,938.14,1533.18
U,839.16,1511.55
U,792.07,1633.5
U,749.53,1360.62
U,673.86,1604.14
